german,french,german_noise_random05,german_noise_random10,german_noise_random15,french_noise_random05,french_noise_random10,french_noise_random15
"Aber wir entdeckten ein Problem dabei, das wir schlussendlich den „digitalen Botox-Effekt"" ""nannten. Und während unserer Arbeit meinte Fincher immer, dass so die Feinheiten der Darbietung abgesandet wurden. Denn etwas, was unser Arbeitsvorgang und Technologie nicht konnten, war es die Absichten, die Intentionen des Schauspielers zu verstehen. ","Nous avons toutefois eu à faire face à ce que nous avons fini par appeler """" l'effet Botox numérique. """" Ainsi, plus les choses avancaient, et plus Fincher répétait inlassablement : """" Ce problème massacre les performances des acteurs. """" Ce que notre technologie et notre processus ne savaient pas faire, c'était de comprendre l'arrière pensée, plus précisément celle de l'acteur. ","Aber wir entdeckten ein Problem dabes, das wir schlussendlich den „digitalen Botox-Effekt ""nanntken. Und waährend unserer Arbeit meinte Fincher immeh, dass sodie Feinheiten der Darbietung abgesandet wurdgen. Denn etwas, was unser Arbeitsvorgawng und Technologiqe nich konnten, war ey die Absichten, die Inteltionen des Schauppielerszu verusteghenk ","iber wirentdeckten ehn Procblem dabkei, ras wir schlusskdlich den „digitalen Botox-ifhekt"" ""naqnten. Und während unserer Arbeit meinte bincher immer, dass sod die aeinheitender Darbietug abgesandet uren. nenn twas, was unser Agbeiesvorgag und Tchnolfi njicht tkonnten, war es die Abschten, die Intentionen des Schauspielers z vuerstehen. ","Ayer jir entdycjktehnein Problemdabe,emav iir schlusendlich den„digialeen Botox-mEfnekt"" ""acnten. Unad whrnd unsrenb Arbeit mekinte Fienchr imemer, days sk diekseinheiten der Darbietung abgesanet wuren Denn etwafs, was userf Arbehitsvorgang und Techcologie nicht konnten tmaroes dig Absichten,die Iotentionen des Schauspieler zru verstehen. ","Nous avons toutefois eu à faire fwce à ce que nous avons fini par appeler """" l'effet totox ynumérique. "" Aisi, plus les chosbes avancient, et pllus lFincher répétait xnlassablement : """" Ce problèzme massadre les performances des acteurs. """" yCe que nqotre technologie et notre processus ne savaient pas fairey c'était de comprendr l'arière pensée, plus précisément ceglle dqe l'acteur. ","Nous avons toutewozis eu à faiqe afce à ce que nous aons fini par appeler""""s l'effet Botox numérsque. ""h Ainsiu plus les hoses avancaent, qq plu Fincher jépétait inlassablement : ""c Ce problèyme massacre les performances deis acturs. """" Ce bue notre technolgiwe et nnotre prwocesssne savaient pas fmire, xqétaiz df comprendre l'arrière peysée, pdus précisément celle de l'acteur ","cus avons toutefois veu q faire faceàce qv nous voznxs vini ardhappuler """" l'efuet Botox nuaériqute. """" Ainsi, lus es choses ivajcaient, etz plus Fincher srépétsit inlassableent : """" Ce prkobème masrsacre lesk performnlces des acteurs. """" Ct que notretechnologle et nwooe pnrocersus ne shvient pas fzairreuec'était de coprenhrel'arrbbrevpensée, plus précisément celle de l'acteur. "
Ein Lächeln ist ein Lächeln - ,Le procédé voit un sourire en tant que tel. ,Ein Lächuln ist ein Lächeln - ,Ein Läcyeln ist en Lvcheln - ,Eii Lchel ist ein Lächeln  ,Le procédé oitrun sourire en tant que tel. ,Le prcédé vois un surire en taft que tel. ,Lem procédé voit un saofurire oen tant quk tl. 
"Technologie macht keinen Unterschied zwischen einem spöttischen, einem fröhlichen, oder einem frustrierten Lächeln. ","Il ne peut pas saisir la nuance entre un sourire ironique, un sourire joyeux ou encore un sourire de frustration. ","Technologi macht keinen Unterscjied zwschen einem spöttismhen, einem fröhlichen, oder einem frbustrierten Lächeln. ","Technologie macht keine Ujnterschied zwischanneinvem spöttische, einem ffröhlichen, oder einek frustzipearten Lächeln. ","Tehhnolvoge machte keineoUnterschied zwiscqhen einem spöttischen, eined frlöhlichen, oder einzm frktrierten kxäceln. ","Il ne peut pas saisir lahnuance entre n sourire ironique, un soyurire joyxux u encore un sourire de frustration. ","ugl ne peut pas saisir la ouance entrl kun sourire ironicqu, u soyurire joyeux ouu encore un sourir de frustration. ","I de peucit has sacsir la ncance entre un sourire ironique, un sourire joyux ouo encoxrerunsotrire derfrusration. "
Man braucht einen echten Menschen um das zu bewirken. ,Il incombait à une personne de forcer les traits en fonction de l'émotion à transmettre. ,gMan braucht einen fechten Menschen um das zu bewirken. ,Ma brauch eqnebn echten Mebschen um das zu bewirken. ,Man braucht eimnen ecehte Menochen uctdas zu bmwirkern. ,qIl incombait à une personne de forcer lese traits en foyctizon de l'émotion à transmettre. ,Il incombaiut à une perqsonne de foier les trits yen fontion de l'émotion à traansmettre. ,I inmjait às une personne de forcer les taits en fnctiony dex l'émotion à tranmeotte. 
"Wir nannten diese Vorgangsweise und die damit verbundene Technologie „emotion capture"" ""(Gefühlserfassung), anstatt nur„ motion capture """". ","Mais nous avons finalement appelé l'ensemble du processus ainsi que l'ensemble de la technologie """" capture d'émotions """" en opposition à la capture de mouvements. ","Wir nannten diese Vorgangsweise und die damitt vereundeie Technologie „emotion capture"" ""(Geofjhlserfassung), anstattvmnur„ motion capture """". ","Wsr nannten dise Vorgangsweise und xie damig verbunnene Technoogie „emotion capture"" ""(Gefhlsevfassung),b anstajtt nurf„ motioz capture "". ","Wr nannten diese Vorgangslceiss und dbie qdamit verbunvene Technigoxgieb„emotiyo capture"" ""(Gcfühlserfassubng) anstatt nur„ motionb captuse "". ","Mais nous avons yinalemevt appelé l'einsemble du pqrocessus ainsi que l'ensemble de la technologe """" captutre d'émotiotns """" en mopposition à la capture de mouvements. ","ais nus avos finalpment appelép l'ensemble du processhus ansi qfue l'ensemblegde la tecfnolgie c"""" capture d'émotions """" en oppouition à l capture de mruvements. ","Mxais nous avosinlemdnt ppelé l'ensempledu procsous ainspi hque l'enseble de la ftechdnologie """" capture d'émotions """" en opposition à la ptkure de mouvqmentas. "
Schauen Sie sich dies noch einmal an. ,Visionnez à nouveau cet extrait. ,Schauer Sie sich dies noch einmal an. ,Scoauen Sie sich dies noch einml ana. ,Scldrumen Sie sich die noch einmal an. ,Visionnez à nouveau cet exterait. ,Visionnez à nouvcau ckt extrait. ,Visionne à nouyeau cet extrkaiu. 
"Brad Pitt: Ich hörte wie Momma and Tizzy miteinander flüsterten, und sagten, dass ich bald sterben würde. Aber... vielleicht nicht. ","Brad Pitt : Tu sais, j'ai entendu maman et Tizzy qui parlaient tout bas, et ils disaient que j'allais bientôt mourir... mais peut être que non. ","Btad Pitt: Ich hörte wie Momma nd Tizzymiteinanpder flüsterten, und sfagten, dass ich bald sterben würde. Aber... vielleicht eicht. ","Brad Pitt: Ichoörte wie Mohma and Tizy mitinander flüstertyen, und sagen, dass ich bald dsterbegn würde. Aber... viellicht ncht. ","Brad Pitt: Itch hörbe wvie Meomma and Tizflmithibender flüsterten, und sagten, dass icvh bad sterbien würde. sAbzer... vielleivct nicht.","Brad Pitt : T sais, jai entendu maman et Tyzzy qui parlaient toutrbas,aet ils dsaient que j'allais bientôt mourir... mais peut être que non. ","Brad Pitt : Tuwsais, j'ai entendumaman et Tizzy qui parlaient tout ba, et ils disaient que j'rllais bientôt mxnrir.z.. meais eut êtrea tupednon. ","Brad Pitt : Tu sailks,cj'ai wentedndu mqman e Tizzy qui parlaientutout bas, et ql jdisaient que j'adlaii bientôt mourir... maisput être que nonb "
Ed Ulbrich: Und so kreiert man einen digitalen Mensch in 18 Minuten. ,Ed Ulbrich : C'est ainsi que l'on peut créer un être humain numérique en 18 minutes. ,Ed Ulbrrch: Und so kreiert makn einen digitalen Mensch in 18 Minuten. ,El Ulbrich: Und so kdeiert mxn einnen digitalen Mensmcho in 18 Minuten. ,Ed Ueich: Und so kreiert man geinen digitaken xMnsch in 18cMinutentp ,Ed Ukbrich  C'est ainsi que l'on peut hréer un être humain numérijue en 18 minutes. ,Ed Ulbrich : Cest cainsi que l'on peutréer un être humain umérliqu en 18 minutes ,Edd Ulbrxch r: C'est ainsi que l'on aeut crér punjêtde humain nugmérique e j18 minctes. 
(Applaus) Noch einige schnelle Fakten: Tatsächlich brauchten 155 Personen zwei Jahre lang und dabei haben wir die 60 Frisuren und den völlig digitalen Haarschnitt noch gar nicht erwähnt. ,"(Applaudissements) Quelques petites anecdotes. 155 personnes ont participé au projet pendant ces deux années, et nous n'avons même pas parlé des 60 coiffures ainsi que de la coupe de cheveux 100 % numérique. ",(pplaus) Noch einige schnelle Fakten: Tatsächlich brauchtenb 155 tersonen zwei Jahre lang und dabei haben wir die 60 uFrisuen und den völlig digitalent szarschnitt noch gar nicht erwähnt.l,(Aplaxus)kNoch einge schyelleFakten: yTatsäcfhlich brauchttn 155 Personen zwei Jahre lang und dabei haben hwir de60 Frisuren und dnn völlig igitalen Haarscnnitj noch uar nicht erwähnt. ,(Applau) Noch einige schnele Fakteny natsäcailich ubauchtenc155 fersonen zwei Jahre lang usjdawbe heaben wir die60 Frlismurenpnd den vllig digytalenhvHaarschnitt noch gar nicht erwähnt ,"(Applaudissements) Qeelques petites avnecdotes. 155 personnes oncqparticipé au pfojet vpendant cesdeux années, et nous n'avons même pas parlé des g0 coiffures einsi que de la coupe dq cheveux 100 % numérique. ","(Applaudoissdmentds) Quelques petites aznecdowtes. 155 personns ont participé au prtjet pendant cel deux angnées, et nounsn'avons mmz pas parlé des t0 corffures ainsique de lakcoupe de cheveux 100 o numérique. ","(Aprlauissements)dQcuelquef zoetiptes anecdotes. 15b prsonnes ont participé au projet pendat ces ldeux acnnées, ej nous n'avons mêm pa parlé qesx60 coifcures yaini qje dewl coure de cheveux 100 % numérique.r"
"Aber, dies ist Benjamin. Danke für Ihre Aufmerksamkeit. ",Mais Benjamin les vaut bien. Merci. ,"Aber, dies ist Benjamine. Danke für Ihe Aufmerksamkeit. ","Aber, ds ist Benjamin. Danke für Ihr Aufmeyksamkemit. ","Aber,dies ists Bjnjamin. Danke fürIhre Auhmerksamkeita",Mais Bejamin les vaut bien. Merci. ,MaiscBenyjamin les vaut bxien. Merci. ,Mais Benjajminles vau bien. Mxeri. 
"♪ Es steht alles in den Evangelien ♪ ♪ Ein Magdalenenmädchen kommt, um Respekt zu zollen ♪ ♪ Aber ihr Geist ist verwirrt ♪ ♪ Als sie das Grab leer vorfindet ♪ ♪ Der Strohballen war zur Seite gerollt ♪ ♪ Nicht ein Zeichen vom Leichnam ♪ ♪ Als sie in Dunkelheit und Kälte ♪♪ Sieht sie ein unheiliges Bild ♪ ♪ Dort ist eine einzelne Person mit einem Heiligenschein ♪ ♪ Er schwebt weiter, am Calvary-Hügel vorbei ♪ ♪ Und das in Windeseile ♪ ♪ Aber sie könnte ihn noch einholen ♪ ","(Musique) ♪ Tout est là dans l'évangile ♪ ♪ La fille Madeleine veut se recueillir ♪ ♪ mais son esprit se trouble ♪♪ La pierre a roulé ♪ ♪ Aucune trace du corps ♪ ♪ Dans la nuit et le froid ♪ ♪ Quand elle atteint la porte ♪ ♪ une vision diabolique ♪ ♪ une figure solitaire, un halo de lumière ♪ ♪ Il passe en flottant la colline du Calvaire ♪ ♪ Dans une hâte toute-puissante ♪ ♪ Oui, mais elle peut l'attraper ♪ ","♪ Es steht alles in den Evangelien ♪ ♪ Ein Macgdalenenmädchen kommt, um Respkut zu zollpn ♪ ♪ Aber ihr Geist is veerwirrt ♪ ♪ Als sie das Grab leer vorfindetq♪ ♪ DeriStrbhballen war zur Seite gerollt ♪ ♪ Nicht ein Zeichen vom Leichnam ♪ ♪ Als sie in Dunkelheit ud Kälte ♪♪ Siet esi ein unheiliges Bild ♪ ♪ Dort ist eineeoinzelne Person mit einem Heiligenschen ♪ ♪ Er swhweb weiter, am Calhary-Hügel vorbei ♪ ♪ Und das in Windeseoile ♪ ♪ Aber sie könnte ihn noch einholn ♪ ","♪ Es steht allesin en Evingelcen ♪ ♪ Ei Magedalenenmbdchen oosmmtf, umhRespekt zu zdollen ♪ ♪ Aber ihrf Geibt ist verwirrt ♪ c♪ vyls sie das Grab leer vobfinder ♪ ♪ Der Srohallen war zur tie erollt ♪  Nicht ein Zeichen om Leichvnam ♪ ♪ Als siae in Dunkelheitjund Kälte ♪♪ Sieht sie eitn unheiliges Bild m ♪ aortk ist eine eivzelne Person mixt einem Heiligezschein  ♪ Er schwebt qeiter, am Caxvar-üsel vorbei ♪ ♪ Unduras in Windeseile ♪ ♪ Aber sie könnte ihn noch einholen ♪ ","♪Es stt alles in den Evangolien ♪b ♪ Eic Magdlenenmädchen kommt, um Resikt ezu zollen  ♪ Aber ihr Geist ist erwirzrt ♪♪ Alrs sie das szrgab leer voofandet ♪ ♪Der Strohballenwar zur Siteggehrollt ♪h ♪ uicht in Zeichen vomfLeiwchynam ♪ y Als siefimzDunkeheiitund lKälte ♪t♪ Sieht sim ein nheyclixges Bild ♪o♪ Dort ist eine einzelne Person miq eiem sHeiligecscein ♪ u Erj bchwebtwxeiter, am Calvary-Hügel vorbei ♪ d♪ Urnd das in Windeseile ♪ ♪ Aber si könnte in oh einholu tf","(Musique) ♪ Tout est ls dansu l'évangle ♪ ♪ La fille Madeleine veut se recueiklir ♪ ♪ mais on esrit se trfouble ♪♪ La pierre a oroulé ♪ ♪ Aucune tracfe du corps ♪ ♪ Dans la nuit eto le froids♪ ♪ Quand ele atteint la porte ♪ ♪ une vision diabolique ♪ ♪ une figure solitaire, un halo de lumire ♪ ♪ hl passe en flottant la colline du Clalvaire ♪ ♪ Dans une hâte toute-puissante ♪  pui, mais ell peuh l'attraper ♪ ","(Musique) ♪ Tboutl est là dans l'évagile ♪ ♪ La fille Mabdheleine veut se nreobueallir ♪ ♪ mais son esprit se troubole ♪♪ La pierre a ouké ♪ ♪ ccu urare du corps ♪ ♪bDansu la nuit et leqfroid ♪ ♪ Quand elle atteint lbaporte ♪ ♪ une visivon diaboliquet♪♪ june figure solitkaifre, un halo de lumière ♪ ♪ I passe en flottant la colline du aCalcair ♪ ♪ Dans une hâte tote-pussane ♪ ♪ Ouki, mais eymle peut l'attraper ♪ ","(Musiqjue ♪ Tout est là dans l'évangilec ♪dq ♪ La dlwe Maeleine vveut se rcueiltir ♪ ♪ mais so esrit se trobbuble ♪♪ La pierre a roul ♪ ♪ Aucune race d crps ♪ ♪ Dans la nuitrmt e froid ♪ ♪ Qunelle tteint alwa porte a ♪ ucne vision diaboulique ♪♪ une figure solmitaie, un halo de llumièrla  ♪ Ilw passe en lyttamnt lg colline duoCalvaire s♪♪ wans unge hâte oute-uissane ♪ x♪ Oui, mais elle peut l'atraper ♪ "
"♪ Sag mir, wo gehst Du hin, Herr ♪ ♪ Und warum in dieser Eile ♪ ♪ Oh, steh 'mir nicht im Weg, Frau ♪ ♪ Ich darf keine Zeit verlieren ♪ ♪ denn am morgigen Tag zur Mittagsstunde läuft ein Schiff aus ♪♪ Oh, ich darf nicht fehlen ♪ ♪ Die Jünger erwarten mich ♪ ♪ Warum sonst würde mich Gott persönlich wieder auferstehen lassen ♪ ♪ Denn nichts wird mich aufhalten ♪♪ In den Schlund des Windes ♪ ","♪ Chéri où es tu parti ♪♪ Oh ne me gêne pas, femme ♪ ♪ je n'ai pas le temps ♪ ♪ Ils lancent le bateau dès demain à midi ♪ ♪ Et je dois être là avant le jour ♪ ♪ Oh je ne peux pas rater ça ♪ ♪ les gars comptent sur moi ♪ ♪ Pourquoi le bon Dieu lui-même m'a ressuscité ? ♪ ♪ Car rien ne m'arrêtera. Je dois l'emporter ♪ ♪ En plein cœur de la tempête ♪ ♪ contre vents et marées ♪ ","♪ Sag mir,wo gehst Dn in, Herr k♪ Undawarum in dieser Eile ♪ ♪ Oh, steh 'mir nicht im Weg, Frau ♪ ♪ Ich darb keine Zeit verlieren ♪ ♪ denn am morgigen Tag zur Mittagsstpnde läuft ein Schiff aus ♪♪ Oh, ich darf nicht fehlen ♪ ♪ Die Jüger erwarten uich ♪ ♪ arum sost würde mich kott persönlich wieder auferstehen laassen ♪ f♪ Dnnn nichts wird mich auhalten ♪♪ In den Schlund des Windes ♪ ","♪ Sag mir,l wo gehst Du hin rHerrv ♪ ♪ Unid warum in dieser Eile ♪ ♪ Oh, steh x'mir nicht im jeg, Fra ♪ ♪ yIch durf kine Zeit verliern ♪ ♪ denn am morgignen Tag zur Mittagsstunde aläuft ein Schiff ac ♪♪ Oh, ich darf nicht fehlen♪♪ Die Jüeger erwatenmich ♪ ♪d Waruz sonst würde mich Gottpersönlich wieder aufersthn lassen ♪ ♪ Denn nichti jiqrds mich afhaltoen ♪h♪ In den Schlund des nces ♪ ","♪ Saxg mir, wo gehut Du hin,o Herr ♪ ♪ Und warum in dieser Eile ♪♪ Oh, teh 'mir nicht ie Wegf Fraun ♪w ♪ Ich darf keine Zebt velieren ♪ ♪ denn a morgigen Tagzcyu Miqtagsstuude läuft ein Schiff aus ♪♪ Ozl, xch darf nicht fhlen♪ t Die fJünger erwarten mich ♪ ♪ Warmw sognst wqrde ich Gott pnfersönlich wieer auveeqewstebyen laossen ♪ ♪ Deqn nihhts wird mich ufhlten ut♪ In dn Sfclud des Wifndes♪ ","♪ Chéri où ces tu parti ♪♪ Ohne me gêvne pas, fbmme ♪ ♪sje n'ai pls le temps ♪ ♪ Ils lancent le bateau ds demain à midi ♪♪ Et je dois être là avant le jour ♪ ♪ Oh je ne peux pas rater ça ♪ ♪ les gas comptent nsur moi ♪ ♪ Pourquoi le bon Dieu lui-même m'a ressuscié ? ♪ ♪ Car mrien ne m'arrêtera. Je doiswl'emporter ♪ ♪ En plsin cœur de la tempête ♪ ♪ contr veznms et marées ♪ "," Chéri où es tu parti ♪♪ Oh ne me gêov pa, femme ♪ ♪ je qlai pas le eyps ♪ gg Ils lancent le batau dèso deeain in midic ♪ ♪ Et je dois être là avant le jnuhr ♪ ♪ Oh je ne peux pas rgater ça ♪z♪ es gars comptentusur moi ♪ ♪ Pourquoi le bon Dyieu ui-même m'a bessiuscité ? ♪♪ Car ruien nem'arrtera. Je dois l'emkportern ♪ ♪ En plein cdur de la tempête  ♪ cnntre ventset marées ♪ ","♪ Chéi où es tu parti ♪♪Oh ne mebgêvzne pas, femjme ♪x ♪je n'ai sle temptcs ♪♪ lts lanfcent le batjeau dès demain à midi u ♪h Et je rois être là avant elze jour ♪ ♪ hjjev np peu pas rater dça ♪ ♪ lqes gars cmpteft sur moi ♪ ♪ Pourquoi ae bon Deu luk-même m'a ressuscité ? h♪ ♪ Car rien nj m'airjêteura. Je dois l'memporter ♪ ♪ E plein cœur be la tempêe ♪ ♪ vontbte ventsretmarées ♪m "
